id,stock_code,stock_name,trade_date,is_open,open,close,high,low,volume,created_at
mm1lvwd5agc8spm2t,002027,分众传媒,2026-02-04,1,7.30,7.33,7.39,7.26,1372955,2026-02-25T05:40:47.895Z
mm1lvwd5a2qs3jmng,002027,分众传媒,2026-02-05,1,7.31,7.41,7.51,7.29,1535711,2026-02-25T05:40:47.895Z
mm1lvwd5qt939z6so,002027,分众传媒,2026-02-06,1,7.42,7.31,7.45,7.31,923025,2026-02-25T05:40:47.895Z
mm1lvwd563rbzqk04,002027,分众传媒,2026-02-09,1,7.39,7.31,7.39,7.26,1148214,2026-02-25T05:40:47.895Z
mm1lvwd51frnzvgim,002027,分众传媒,2026-02-10,1,7.30,7.48,7.54,7.30,2000362,2026-02-25T05:40:47.895Z
mm1lvwd5r6gct5672,002027,分众传媒,2026-02-11,1,7.48,7.47,7.54,7.42,1320048,2026-02-25T05:40:47.895Z
mm1lvwd52bkvqr6nr,002027,分众传媒,2026-02-12,1,7.46,7.34,7.48,7.28,1062434,2026-02-25T05:40:47.895Z
mm1lvwd591ptf95ob,002027,分众传媒,2026-02-13,1,7.32,7.28,7.39,7.28,994035,2026-02-25T05:40:47.895Z
mm1lvwd54bot8ibot,002027,分众传媒,2026-02-24,1,7.29,7.28,7.31,7.15,1710557,2026-02-25T05:40:47.895Z
mm1lvwd5pyzgo9kr6,002027,分众传媒,2026-02-25,1,7.27,7.23,7.29,7.21,640617,2026-02-25T05:40:47.895Z
mm1lvwsndakdq7slx,002558,巨人网络,2026-02-04,1,42.41,41.56,42.57,41.03,410277,2026-02-25T05:40:48.455Z
mm1lvwsnmi2sro09i,002558,巨人网络,2026-02-05,1,41.15,41.02,42.10,40.91,266393,2026-02-25T05:40:48.455Z
mm1lvwsn29rn3x1f2,002558,巨人网络,2026-02-06,1,40.80,42.02,42.87,40.26,376980,2026-02-25T05:40:48.455Z
mm1lvwsnwixvv6tfw,002558,巨人网络,2026-02-09,1,42.70,41.03,42.81,40.72,394262,2026-02-25T05:40:48.455Z
mm1lvwsntg8ntaa29,002558,巨人网络,2026-02-10,1,41.15,41.69,42.09,41.03,410105,2026-02-25T05:40:48.455Z
mm1lvwsnt5qtu56mw,002558,巨人网络,2026-02-11,1,41.32,41.90,42.77,40.52,408743,2026-02-25T05:40:48.455Z
mm1lvwsngxntn19cs,002558,巨人网络,2026-02-12,1,41.60,41.28,42.44,41.13,313540,2026-02-25T05:40:48.455Z
mm1lvwsnqhzww6vqk,002558,巨人网络,2026-02-13,1,41.05,40.96,41.85,40.95,199617,2026-02-25T05:40:48.455Z
mm1lvwsn6jak48ylg,002558,巨人网络,2026-02-24,1,40.94,39.23,40.95,38.31,616698,2026-02-25T05:40:48.455Z
mm1lvwsn5tyygtbrr,002558,巨人网络,2026-02-25,1,39.26,38.40,39.40,38.00,459072,2026-02-25T05:40:48.455Z
mm1lvx7uchyd6pij6,603986,兆易创新,2026-02-04,1,285.99,282.33,289.50,279.00,270958,2026-02-25T05:40:49.002Z
mm1lvx7uofgewbes8,603986,兆易创新,2026-02-05,1,269.94,277.74,279.52,268.21,229054,2026-02-25T05:40:49.002Z
mm1lvx7uhmlmiq3jm,603986,兆易创新,2026-02-06,1,271.00,276.17,280.51,268.20,186267,2026-02-25T05:40:49.002Z
mm1lvx7uquqjld357,603986,兆易创新,2026-02-09,1,283.97,292.98,294.44,280.20,283055,2026-02-25T05:40:49.002Z
mm1lvx7u43yugnuly,603986,兆易创新,2026-02-10,1,287.13,289.90,291.50,284.17,215966,2026-02-25T05:40:49.002Z
mm1lvx7uru7k8lfqv,603986,兆易创新,2026-02-11,1,285.00,284.59,286.50,280.50,173416,2026-02-25T05:40:49.002Z
mm1lvx7uzcw1g3phl,603986,兆易创新,2026-02-12,1,290.50,303.24,305.00,285.00,300674,2026-02-25T05:40:49.002Z
mm1lvx7udlkavsi6v,603986,兆易创新,2026-02-13,1,303.24,308.70,317.60,301.00,299254,2026-02-25T05:40:49.002Z
mm1lvx7ubjemd9rhg,603986,兆易创新,2026-02-24,1,317.50,323.05,331.16,311.00,302545,2026-02-25T05:40:49.002Z
mm1lvx7ucwgqlqdim,603986,兆易创新,2026-02-25,1,316.00,311.90,317.01,301.96,237486,2026-02-25T05:40:49.002Z
mm1lvxn6fd7t4qrfk,300002,神州泰岳,2026-02-04,1,12.18,11.98,12.22,11.78,865554,2026-02-25T05:40:49.554Z
mm1lvxn6nydp36jpm,300002,神州泰岳,2026-02-05,1,11.87,11.86,12.01,11.83,367429,2026-02-25T05:40:49.554Z
mm1lvxn6ie26enq96,300002,神州泰岳,2026-02-06,1,11.78,11.74,11.96,11.51,488024,2026-02-25T05:40:49.554Z
mm1lvxn634jhjxpja,300002,神州泰岳,2026-02-09,1,11.98,12.04,12.14,11.94,512217,2026-02-25T05:40:49.554Z
mm1lvxn6hw69lav2x,300002,神州泰岳,2026-02-10,1,12.05,12.54,12.74,11.99,1196202,2026-02-25T05:40:49.554Z
mm1lvxn635i8ey4nk,300002,神州泰岳,2026-02-11,1,12.43,12.35,12.65,12.33,654114,2026-02-25T05:40:49.554Z
mm1lvxn6n0gtcoqk2,300002,神州泰岳,2026-02-12,1,12.40,12.58,12.69,12.19,828830,2026-02-25T05:40:49.554Z
mm1lvxn6fdudxst5n,300002,神州泰岳,2026-02-13,1,12.49,12.21,12.59,12.20,593622,2026-02-25T05:40:49.554Z
mm1lvxn62vc00kvzz,300002,神州泰岳,2026-02-24,1,12.35,12.03,12.37,11.96,507990,2026-02-25T05:40:49.554Z
mm1lvxn602027y6j9,300002,神州泰岳,2026-02-25,1,12.05,12.03,12.13,12.00,299897,2026-02-25T05:40:49.554Z
mm1lvy2o991zpbnke,002517,恺英网络,2026-02-04,1,22.81,22.44,23.00,22.15,705619,2026-02-25T05:40:50.112Z
mm1lvy2omnp93xtsr,002517,恺英网络,2026-02-05,1,22.18,22.23,22.53,22.06,353512,2026-02-25T05:40:50.112Z
mm1lvy2o3xc6lege1,002517,恺英网络,2026-02-06,1,22.02,22.26,22.67,21.55,482730,2026-02-25T05:40:50.112Z
mm1lvy2oopjch8mce,002517,恺英网络,2026-02-09,1,22.63,22.81,22.95,22.47,407537,2026-02-25T05:40:50.112Z
mm1lvy2o2ctlik5u8,002517,恺英网络,2026-02-10,1,23.20,24.42,24.63,23.05,936170,2026-02-25T05:40:50.112Z
mm1lvy2ov6f6jwi33,002517,恺英网络,2026-02-11,1,25.30,25.97,26.86,25.16,1359441,2026-02-25T05:40:50.112Z
mm1lvy2o59mfyj4pb,002517,恺英网络,2026-02-12,1,25.32,25.63,26.25,25.03,733342,2026-02-25T05:40:50.112Z
mm1lvy2o5f8ecnuw4,002517,恺英网络,2026-02-13,1,25.52,24.51,25.57,24.43,536380,2026-02-25T05:40:50.112Z
