id,chain_id,concept_name,sort_order,is_manual,created_at
cc_ai_1,chain_ai,CPO,1,0,2026-03-03T00:00:00.000Z
cc_ai_2,chain_ai,PCB,2,0,2026-03-03T00:00:00.000Z
cc_ai_3,chain_ai,光模块,3,0,2026-03-03T00:00:00.000Z
cc_ai_4,chain_ai,AI芯片,4,0,2026-03-03T00:00:00.000Z
cc_ai_5,chain_ai,算力租赁,5,0,2026-03-03T00:00:00.000Z
cc_ai_6,chain_ai,AIGC,6,0,2026-03-03T00:00:00.000Z
cc_ai_7,chain_ai,ChatGPT,7,0,2026-03-03T00:00:00.000Z
cc_ai_8,chain_ai,数据中心,8,0,2026-03-03T00:00:00.000Z
cc_chip_1,chain_chip,半导体,1,0,2026-03-03T00:00:00.000Z
cc_chip_2,chain_chip,芯片,2,0,2026-03-03T00:00:00.000Z
cc_chip_3,chain_chip,光刻胶,3,0,2026-03-03T00:00:00.000Z
cc_chip_4,chain_chip,EDA,4,0,2026-03-03T00:00:00.000Z
cc_chip_5,chain_chip,封测,5,0,2026-03-03T00:00:00.000Z
cc_ev_1,chain_ev,锂电池,1,0,2026-03-03T00:00:00.000Z
cc_ev_2,chain_ev,动力电池,2,0,2026-03-03T00:00:00.000Z
cc_ev_3,chain_ev,充电桩,3,0,2026-03-03T00:00:00.000Z
cc_ev_4,chain_ev,电机,4,0,2026-03-03T00:00:00.000Z
cc_ev_5,chain_ev,汽车电子,5,0,2026-03-03T00:00:00.000Z
cc_pv_1,chain_pv,光伏,1,0,2026-03-03T00:00:00.000Z
cc_pv_2,chain_pv,HJT电池,2,0,2026-03-03T00:00:00.000Z
cc_pv_3,chain_pv,Topcon,3,0,2026-03-03T00:00:00.000Z
cc_pv_4,chain_pv,储能,4,0,2026-03-03T00:00:00.000Z
cc_med_1,chain_med,创新药,1,0,2026-03-03T00:00:00.000Z
cc_med_2,chain_med,医疗器械,2,0,2026-03-03T00:00:00.000Z
cc_med_3,chain_med,CRO,3,0,2026-03-03T00:00:00.000Z
cc_5g_1,chain_5g,5G,1,0,2026-03-03T00:00:00.000Z
cc_5g_2,chain_5g,光通信,2,0,2026-03-03T00:00:00.000Z
cc_5g_3,chain_5g,物联网,3,0,2026-03-03T00:00:00.000Z
