industry_l1_code,industry_l1_name,industry_l2_code,industry_l2_name,industry_l3_code,industry_l3_name,industry_l4_code,industry_l4_name
10,能源,1010,能源,101010,石油与天然气,10101010,石油与天然气的勘探及生产
10,能源,1010,能源,101010,石油与天然气,10101020,石油与天然气的炼制与营销
10,能源,1010,能源,101010,石油与天然气,10101030,石油与天然气的存储与运输
10,能源,1010,能源,101020,煤炭,10102010,煤炭开采
10,能源,1010,能源,101020,煤炭,10102020,煤炭加工
10,能源,1020,能源设备与服务,102010,石油与天然气设备与服务,10201010,石油与天然气钻井设备与服务
10,能源,1020,能源设备与服务,102010,石油与天然气设备与服务,10201020,石油与天然气设备
10,能源,1020,能源设备与服务,102010,石油与天然气设备与服务,10201030,油田服务
10,能源,1020,能源设备与服务,102020,新能源设备,10202010,风电设备
10,能源,1020,能源设备与服务,102020,新能源设备,10202020,光伏设备
10,能源,1020,能源设备与服务,102020,新能源设备,10202030,储能设备
15,材料,1510,材料,151010,化工,15101010,石油化工
15,材料,1510,材料,151010,化工,15101020,化学原料
15,材料,1510,材料,151010,化工,15101030,化学制品
15,材料,1510,材料,151010,化工,15101040,塑料橡胶
15,材料,1510,材料,151020,建材,15102010,水泥
15,材料,1510,材料,151020,建材,15102020,玻璃
15,材料,1510,材料,151020,建材,15102030,其他建材
15,材料,1510,材料,151030,金属与非金属,15103010,钢铁
15,材料,1510,材料,151030,金属与非金属,15103020,有色金属
15,材料,1510,材料,151030,金属与非金属,15103030,黄金
15,材料,1510,材料,151030,金属与非金属,15103040,其他金属
15,材料,1510,材料,151030,金属与非金属,15103050,非金属矿
15,材料,1510,材料,151040,造纸与包装,15104010,造纸
15,材料,1510,材料,151040,造纸与包装,15104020,包装
20,工业,2010,资本货物,201010,航空航天与国防,20101010,航天航空
20,工业,2010,资本货物,201010,航空航天与国防,20101020,国防军工
20,工业,2010,资本货物,201020,建筑与工程,20102010,房屋建设
20,工业,2010,资本货物,201020,建筑与工程,20102020,基础建设
20,工业,2010,资本货物,201020,建筑与工程,20102030,装修装饰
20,工业,2010,资本货物,201020,建筑与工程,20102040,工程咨询服务
20,工业,2010,资本货物,201030,建筑产品,20103010,钢结构
20,工业,2010,资本货物,201030,建筑产品,20103020,其他建筑产品
20,工业,2010,资本货物,201040,重型机械,20104010,工程机械
20,工业,2010,资本货物,201040,重型机械,20104020,重型机械
20,工业,2010,资本货物,201050,贸易公司与经销商,20105010,贸易公司
20,工业,2010,资本货物,201050,贸易公司与经销商,20105020,经销商
20,工业,2010,资本货物,201060,电气设备,20106010,电机
20,工业,2010,资本货物,201060,电气设备,20106020,输变电设备
20,工业,2010,资本货物,201060,电气设备,20106030,电力电子设备
