stock_code,stock_name,industry,sub_industry,province,city,establish_date,main_business
002027,分众传媒,广告营销,,上海,,,
002558,巨人网络,游戏Ⅱ,,重庆,,,
603986,兆易创新,半导体,,北京,,,
300002,神州泰岳,游戏Ⅱ,,北京,,,
002517,恺英网络,游戏Ⅱ,,福建,,,
603444,吉比特,游戏Ⅱ,,福建,,,
002624,完美世界,游戏Ⅱ,,浙江,,,
300251,光线传媒,影视院线,,北京,,,
601595,上海电影,影视院线,,上海,,,
688052,纳芯微,半导体,,江苏,,,
688484,南芯科技,半导体,,上海,,,
688213,思特威-W,半导体,,上海,,,
002475,立讯精密,消费电子,,广东,,,
002292,奥飞娱乐,影视院线,,广东,,,
688368,晶丰明源,半导体,,上海,,,
300666,江丰电子,半导体,,浙江,,,
688361,中科飞测,半导体,,广东,,,
002371,北方华创,半导体,,北京,,,
603160,汇顶科技,半导体,,广东,,,
688012,中微公司,半导体,,上海,,,
301269,华大九天,软件开发,,北京,,,
300567,精测电子,通用设备,,湖北,,,
688981,中芯国际,半导体,,,,,
300059,东方财富,,,,,,
002268,电科网安,,,,,,
300413,芒果超媒,,,,,,
300661,圣邦股份,半导体,,北京,,,
000526,学大教育,教育,,福建,,,
688234,天岳先进,半导体,,山东,,,
002415,海康威视,计算机设备,,浙江,,,
300033,同花顺,软件开发,,浙江,,,
002315,焦点科技,互联网电商,,江苏,,,
688083,中望软件,软件开发,,广东,,,
002236,大华股份,计算机设备,,浙江,,,
688111,金山办公,软件开发,,北京,,,
002230,科大讯飞,软件开发,,安徽,,,
300624,万兴科技,软件开发,,西藏,,,
300378,鼎捷数智,软件开发,,上海,,,
688369,致远互联,,,,,,
603039,泛微网络,,,,,,
300459,汤姆猫,,,,,,
300170,汉得信息,,,,,,
688041,海光信息,,,,,,
300750,宁德时代,,,,,,
603019,中科曙光,,,,,,
603259,药明康德,,,,,,
002812,恩捷股份,,,,,,
02097,蜜雪集团,,,,,,
09868,小鹏汽车-W,,,,,,
00700,腾讯控股,,,,,,
09633,农夫山泉,,,,,,
002311,海大集团,,,,,,
09988,阿里巴巴-W,,,,,,
09660,地平线机器人-W,,,,,,
01801,信达生物,,,,,,
06969,思摩尔国际,,,,,,
000034,神州数码,,,,,,
600276,恒瑞医药,,,,,,
03690,美团-W,,,,,,
600563,法拉电子,,,,,,
02015,理想汽车-W,,,,,,
600519,贵州茅台,,,,,,
600845,宝信软件,,,,,,
300188,国投智能,,,,,,
002063,远光软件,,,,,,
000032,深桑达A,,,,,,
603659,璞泰来,,,,,,
