id,stock_code,stock_name,report_quarter,report_year,report_date,quarter_revenue,quarter_net_profit,quarter_deducted_net_profit,revenue_yoy,net_profit_yoy,deducted_net_profit_yoy,basic_eps,eps_yoy,bps,roe,gross_margin,ttm_revenue,ttm_net_profit,created_at
mm1r3dxpa2tnmhulw,002027,分众传媒,2020Q4,2020,2020-12-31,12097106052.76,4003835613.29,3646173547.71,-0.3200573864,113.51,,0.2774,,1.159362654949,26.16,63.2395624888,30838927099.6,13195822808.7,2026-02-26T06:12:05.273Z
mm1r3dxpbizxm5l07,002027,分众传媒,2021Q1,2021,2021-03-31,3592928596.15,1368211493.18,1217037005.88,85.3531490341,3511.27,,0.0948,,1.257871968052,7.71,65.7234120595,30838927099.6,13195822808.7,2026-02-26T06:12:05.273Z
mm1r3dxp9wbjb1233,002027,分众传媒,2021Q2,2021,2021-06-30,7326642914.52,2900234140.14,2591603530.05,58.9008966091,252.23,,0.2008,,1.255021332074,15.88,65.8809969246,30838927099.6,13195822808.7,2026-02-26T06:12:05.273Z
mm1r3dxprdv1tvdov,002027,分众传媒,2021Q3,2021,2021-09-30,11148130888.5,4422555928.9,4030911315.59,41.5553278068,100.81,,0.3062,,1.162816921777,23.92,66.9583774714,30838927099.6,13195822808.7,2026-02-26T06:12:05.273Z
mm1r3dxpob5a2345c,002027,分众传媒,2021Q4,2021,2021-12-31,14836422936.69,6063162192.53,5413868941.52,22.6443983543,51.43,48.48,0.4198,51.33,1.272619914224,33.13,67.5333997686,30838927099.6,13195822808.7,2026-02-26T06:12:05.273Z
mm1r3dxppiqkbe3w8,002027,分众传媒,2022Q1,2022,2022-03-31,2939271223.27,928760981.95,811347231.78,-18.1928851461,-32.12,-33.33,0.0643,-32.17,1.336142111089,4.93,63.3733124522,30838927099.6,13195822808.7,2026-02-26T06:12:05.273Z
mm1r3dxprs7zmhstd,002027,分众传媒,2022Q2,2022,2022-06-30,4852333909.76,1403446442.81,1079743404.69,-33.7713879826,-51.61,-58.34,0.0972,-51.59,1.372349442787,7.35,58.9598372865,30838927099.6,13195822808.7,2026-02-26T06:12:05.273Z
mm1r3dxp5ymc6r6ry,002027,分众传媒,2022Q3,2022,2022-09-30,7370235888.77,2130670691.76,1951109652.28,-33.8881471479,-51.82,-51.6,0.1475,-51.83,1.294880522042,11.18,60.9202720843,30838927099.6,13195822808.7,2026-02-26T06:12:05.273Z
mm1r3dxpovuw6bht1,002027,分众传媒,2022Q4,2022,2022-12-31,9424959143.22,2789952461.91,2394252544.09,-36.4741812535,-53.99,-55.78,0.1932,-53.98,1.173567047905,14.82,59.7093013563,30838927099.6,13195822808.7,2026-02-26T06:12:05.273Z
mm1r3dxp689jyhiw9,002027,分众传媒,2023Q1,2023,2023-03-31,2574661727.65,941213711.27,799826585.5,-12.4047584562,1.34,-1.42,0.0652,1.4,1.237954631783,5.4,61.822242444,30838927099.6,13195822808.7,2026-02-26T06:12:05.273Z
mm1r3dxpwurwl5ejr,002027,分众传媒,2023Q2,2023,2023-06-30,5516755762.64,2231417577.26,1971863375.05,13.6928304036,59,82.62,0.1545,58.95,1.048707371418,12.83,63.9386880496,30838927099.6,13195822808.7,2026-02-26T06:12:05.273Z
mm1r3dxpt7rttbhqa,002027,分众传媒,2023Q3,2023,2023-09-30,8675229097.11,3602070203.65,3257160305.68,17.7062610754,69.06,66.94,0.2494,69.08,1.144418584006,21.24,65.5064058417,30838927099.6,13195822808.7,2026-02-26T06:12:05.273Z
mm1r3dxp1l8dakjwb,002027,分众传媒,2023Q4,2023,2023-12-31,11903724918.98,4827101718.5,4373844125.99,26.300016139,73.02,82.68,0.3342,72.98,1.225121829017,28.42,65.4793622282,30838927099.6,13195822808.7,2026-02-26T06:12:05.273Z
