id,fund_code,stock_code,stock_name,weight,report_date,created_at
mm1dgteuszl9zjg60,003053,002027,分众传媒,9.78%,2025-12-31,2026-02-25T01:45:07.302Z
mm1dgteuu36xmci1a,003053,002558,巨人网络,9.65%,2025-12-31,2026-02-25T01:45:07.302Z
mm1dgteuby8iy8uoa,003053,603986,兆易创新,9.38%,2025-12-31,2026-02-25T01:45:07.302Z
mm1dgteuekrf8m6zs,003053,300002,神州泰岳,9.29%,2025-12-31,2026-02-25T01:45:07.302Z
mm1dgteu6rksnag0w,003053,002517,恺英网络,9.12%,2025-12-31,2026-02-25T01:45:07.302Z
mm1dgteufiwbsvpld,003053,603444,吉比特,8.60%,2025-12-31,2026-02-25T01:45:07.302Z
mm1dgteu2vgt3jgj3,003053,002624,完美世界,8.53%,2025-12-31,2026-02-25T01:45:07.302Z
mm1dgteur1pn1qmlw,003053,300251,光线传媒,8.51%,2025-12-31,2026-02-25T01:45:07.302Z
mm1dgteuoz1jmwa8v,003053,601595,上海电影,8.12%,2025-12-31,2026-02-25T01:45:07.302Z
mm1dgteu4etju7ujx,003053,688052,纳芯微,6.94%,2025-12-31,2026-02-25T01:45:07.302Z
mm1dgtex5dtvmsw36,003053,002517,恺英网络,9.84%,2025-09-30,2026-02-25T01:45:07.305Z
mm1dgtexkwuqeinpf,003053,603444,吉比特,9.67%,2025-09-30,2026-02-25T01:45:07.305Z
mm1dgtexn9ppq8zff,003053,688484,南芯科技,8.77%,2025-09-30,2026-02-25T01:45:07.305Z
mm1dgtexf85fx5w1l,003053,300002,神州泰岳,8.72%,2025-09-30,2026-02-25T01:45:07.305Z
mm1dgtexeq4w8od7y,003053,002027,分众传媒,8.10%,2025-09-30,2026-02-25T01:45:07.305Z
mm1dgtexdobn4ex97,003053,688213,思特威,8.07%,2025-09-30,2026-02-25T01:45:07.305Z
mm1dgtex3chmch38v,003053,300251,光线传媒,7.62%,2025-09-30,2026-02-25T01:45:07.305Z
mm1dgtexmnso1hhxe,003053,688052,纳芯微,7.55%,2025-09-30,2026-02-25T01:45:07.305Z
