id,stock_code,stock_name,trade_date,is_open,open,close,high,low,volume,amount,float_cap,turnover_rate,pe_ttm,pb,rsi6,rsi12,rsi24,created_at
mm53himvl3hbcrnqz,600438,通威股份,2023-07-03,1,33.409,33.319,33.769,33.259,28472300,948668564,81756000000,1.16,1.96,19.98,,,,2026-02-27T16:16:48.532Z
mm53himvsox6xs41l,600438,通威股份,2023-07-04,1,33.229,32.679,33.329,32.449,34882700,1139931753,81756000000,1.39,1.96,19.98,,,,2026-02-27T16:16:48.532Z
mm53himv1yr1351km,600438,通威股份,2023-07-05,1,32.619,31.879,32.659,31.769,36121600,1151520486,81756000000,1.41,1.96,19.98,,,,2026-02-27T16:16:48.532Z
mm53himv0825xjx7z,600438,通威股份,2023-07-06,1,31.899,31.649,32.039,31.579,19211000,608008939,81756000000,0.74,1.96,19.98,,,,2026-02-27T16:16:48.532Z
mm53himv1fe5xexud,600438,通威股份,2023-07-07,1,31.499,31.299,31.669,31.269,17597000,550768503,81756000000,0.67,1.96,19.98,,,,2026-02-27T16:16:48.532Z
mm53himv4nkysk3r1,600438,通威股份,2023-07-10,1,31.409,33.639,33.829,31.409,90795800,3054279916,81756000000,3.74,1.96,19.98,,,,2026-02-27T16:16:48.532Z
mm53himv3pr8cqyw5,600438,通威股份,2023-07-11,1,33.629,33.229,33.779,33.099,30771800,1022516142,81756000000,1.25,1.96,19.98,49.06,,,2026-02-27T16:16:48.532Z
mm53himvlt9ydwows,600438,通威股份,2023-07-12,1,33.409,33.759,34.319,32.809,55579000,1876291461,81756000000,2.29,1.96,19.98,55.05,,,2026-02-27T16:16:48.532Z
mm53himvjhedgq4ae,600438,通威股份,2023-07-13,1,33.479,33.859,34.289,33.479,31510000,1066897090,81756000000,1.30,1.96,19.98,56.22,,,2026-02-27T16:16:48.532Z
mm53himvgt8fyuwpo,600438,通威股份,2023-07-14,1,33.869,33.369,33.909,33.299,23971700,799911657,81756000000,0.98,1.96,19.98,48.77,,,2026-02-27T16:16:48.532Z
mm53himvfp10mrlc9,600438,通威股份,2023-07-17,1,33.289,33.099,33.649,32.829,17968300,594732762,81756000000,0.73,1.96,19.98,44.85,,,2026-02-27T16:16:48.532Z
mm53himv2j43zpku9,600438,通威股份,2023-07-18,1,33.279,33.129,33.399,32.799,15830400,524445322,81756000000,0.64,1.96,19.98,45.44,,,2026-02-27T16:16:48.532Z
mm53himv3i94tu46q,600438,通威股份,2023-07-19,1,33.199,32.899,33.309,32.659,13820700,454687209,81756000000,0.56,1.96,19.98,41.39,46.73,,2026-02-27T16:16:48.532Z
mm53himvfssd3w8ej,600438,通威股份,2023-07-20,1,33.029,32.949,33.699,32.919,26403600,869972216,81756000000,1.06,1.96,19.98,42.72,47.18,,2026-02-27T16:16:48.532Z
mm53himv8nxcm99bl,600438,通威股份,2023-07-21,1,32.899,32.629,33.049,32.259,20071500,654912974,81756000000,0.80,1.96,19.98,36.38,44.56,,2026-02-27T16:16:48.532Z
mm53himvrajniztzo,600438,通威股份,2023-07-24,1,32.399,32.289,32.749,32.179,15116600,488099897,81756000000,0.60,1.96,19.98,30.59,41.86,,2026-02-27T16:16:48.532Z
mm53himvugmaznq5n,600438,通威股份,2023-07-25,1,32.669,33.379,33.559,32.509,33570000,1120533030,81756000000,1.37,1.96,19.98,56.95,52.01,,2026-02-27T16:16:48.532Z
mm53himvml6ge4z94,600438,通威股份,2023-07-26,1,33.319,33.489,34.019,33.239,23258000,778887162,81756000000,0.95,1.96,19.98,58.84,52.92,,2026-02-27T16:16:48.532Z
mm53himvm0ehutlo6,600438,通威股份,2023-07-27,1,33.459,33.109,33.749,33.049,17348500,574391487,81756000000,0.70,1.96,19.98,49.77,49.41,,2026-02-27T16:16:48.532Z
mm53himvmu2tdmtzn,600438,通威股份,2023-07-28,1,32.989,33.709,33.759,32.809,30445400,1026283989,81756000000,1.26,1.96,19.98,61.12,54.60,,2026-02-27T16:16:48.532Z
mm53himvvqvyd5uw9,600438,通威股份,2023-07-31,1,33.899,33.899,34.599,33.719,38233300,1296070637,81756000000,1.59,1.96,19.98,64.20,56.15,,2026-02-27T16:16:48.532Z
mm53himvkfukdjnx7,600438,通威股份,2023-08-01,1,33.889,33.679,34.089,33.479,20723400,697943389,81756000000,0.85,1.96,19.98,57.84,53.82,,2026-02-27T16:16:48.532Z
mm53himv2j35tkzll,600438,通威股份,2023-08-02,1,33.679,33.449,33.939,33.399,16243600,543332176,81756000000,0.66,1.96,19.98,51.45,51.40,,2026-02-27T16:16:48.532Z
mm53himvvza854ryv,600438,通威股份,2023-08-03,1,33.789,34.489,34.679,33.759,52258300,1802336509,81756000000,2.20,1.96,19.98,69.65,60.25,,2026-02-27T16:16:48.532Z
mm53himvbhi2r6w4u,600438,通威股份,2023-08-04,1,34.669,34.609,35.159,34.349,41418300,1433445945,81756000000,1.75,1.96,19.98,71.15,61.14,55.81,2026-02-27T16:16:48.532Z
mm53himv31lkj9ctw,600438,通威股份,2023-08-07,1,34.619,34.339,34.699,34.159,18887600,648581296,81756000000,0.79,1.96,19.98,62.78,57.95,54.43,2026-02-27T16:16:48.532Z
mm53himvpe2s4c9wr,600438,通威股份,2023-08-08,1,34.439,34.219,34.649,33.999,16465700,563439788,81756000000,0.69,1.96,19.98,59.08,56.52,53.81,2026-02-27T16:16:48.532Z
mm53himv5ps0p6ikv,600438,通威股份,2023-08-09,1,33.999,34.139,34.329,33.929,12959900,442438026,81756000000,0.54,1.96,19.98,56.42,55.52,53.39,2026-02-27T16:16:48.532Z
mm53himvd464ja7uo,600438,通威股份,2023-08-10,1,34.159,34.299,34.499,34.049,15984000,548235216,81756000000,0.67,1.96,19.98,60.67,57.17,54.14,2026-02-27T16:16:48.532Z
mm53himvrmt32sj9o,600438,通威股份,2023-08-11,1,34.229,33.809,34.379,33.769,19851100,671145840,81756000000,0.82,1.96,19.98,44.65,50.88,51.49,2026-02-27T16:16:48.532Z
mm53himvc8v3l1xe2,600438,通威股份,2023-08-14,1,33.499,33.499,33.749,33.189,18416800,616944383,81756000000,0.75,1.96,19.98,37.20,47.29,49.88,2026-02-27T16:16:48.532Z
mm53himvq6otzlpwe,600438,通威股份,2023-08-15,1,33.399,32.339,33.539,32.009,45544300,1472857118,81756000000,1.80,1.96,19.98,21.26,36.71,44.46,2026-02-27T16:16:48.532Z
mm53himvox8rzyd35,600438,通威股份,2023-08-16,1,32.109,31.919,32.569,31.859,28695100,915918897,81756000000,1.12,1.96,19.98,17.92,33.73,42.71,2026-02-27T16:16:48.532Z
mm53himv8fwf29nmc,600438,通威股份,2023-08-17,1,31.819,31.959,32.029,31.319,23972000,766121148,81756000000,0.94,1.96,19.98,19.37,34.29,42.93,2026-02-27T16:16:48.532Z
